Aaditi Pohankar
Aahana Kumra
Aamna Sharif
Aarti Chhabria
Aditi Rao Hydari
Aishwarya Rai Bachchan
Akanksha Puri
Alia Bhatt
Amala Paul
Ameesha Patel
Amrita Arora
Amrita Rao
Amy Jackson
Amyra Dastur
Ananya Panday
Andrea Jeremiah
Angira Dhar
Anjana Sukhani
Ankita Lokhande
Antara Mali
Anupriya Goenka
Anusha Dandekar
Anushka Sen
Anushka Sharma
Anushka Shetty
Ayesha Takia
Bhumi Pednekar
Bipasha Basu
Bruna Abdullah
Catherine Tresa
Celina Jaitley
Chitrangada Singh
Deepika Padukone
Deepti Bhatnagar
Dia Mirza
Diana Penty
Disha Patani
Drashti Dhami
Elli Avram
Esha Deol
Esha Gupta
Evelyn Sharma
Fatima Sana Shaikh
Freida Pinto
Gauahar Khan
Geeta Basra
Genelia D'Souza
Gul Panag
Hema Malini
Hina Khan
Hrishitaa Bhatt
Huma Qureshi
Ileana D'Cruz
Isha Koppikar
Isha Sharvani
Jacqueline Fernandez
Janhvi Kapoor
Jennifer Winget
Jiya Khan
Juhi Chawla
Kainaat Arora
Kajal Aggarwal
Kalki Koechlin
Kamalinee Mukherjee
Kangana Ranaut
Kareena Kapoor
Karishma Kapoor
Karishma Tanna
Katrina Kaif
Kiara Advani
Kim Sharma
Kirti Kulhari
Koena Mitra
Konkona Sen Sharma
Kriti Kharbanda
Kriti Sanon
Kritika Kamra
Kyra Dutt
Lakshmi Rai
Lara Dutta
Lauren Gottlieb
Lisa Haydon
Lisa Ray
Madhuri Dixit
Madhurima Tuli
Mahek Chahal
Mahie Gill
Mahima Chaudhry
Malaika Arora
Malavika Mohanan
Mallika Sherawat
Mamta Kulkarni
Mamta Mohandas
Mandakini
Mandana Karimi
Mandira Bedi
Manisha Koirala
Manjari Phadnis
Manushi Chhillar
Minissha Lamba
Mink Brar
Mithila Palkar
Mouni Roy
Mrinalini Sharma
Mrunal Thakur
Mugdha Godse
Nandana Sen
Nandita Das
Nargis Fakhri
Nathalia Kaur
Nauheed Cyrusi
Neetu Chandra
Neha Dhupia
Neha Sharma
Nia Sharma
Nimrat Kaur
Nisha Kothari
Nora Fatehi
Nushrat Bharucha
Padma Lakshmi
Paoli Dam
Parineeti Chopra
Payel Sarkar
Perizaad Zorabian
Pia Bajpai
Pooja Bhatt
Poonam Bajwa
Poonam Pandey
Prachi Desai
Preeti Jhangiani
Preity Zinta
Priya Anand
Priyanka Chopra
Radhika Apte
Radhika Madan
Raima Sen
Rakul Preet Singh
Rani Mukerji
Rashi Khanna
Rashmi Desai
Raveena Tandon
Reema Sen
Regina Cassandra
Rekha
Rhea Chakraborty
Richa Chaddha
Rimi Sen
Rituparna Sengupta
Riya Sen
Roopa Ganguly
Sakshi Tanwar
Samantha Ruth Prabhu
Sameera Reddy
Sana Khan
Sandeepa Dhar
Sara Ali Khan
Sara Loren
Saumya Tandon
Sayali Bhagat
Shamita Shetty
Shazahn Padamsee
Shenaz Treasurywala
Sherlyn Chopra
Shibani Dandekar
Shilpa Shetty
Shilpa Shirodkar
Shraddha Das
Shraddha Kapoor
Shriya Pilgaonkar
Shriya Saran
Shruti Haasan
Shweta Menon
Shweta Tiwari
Sneha Ullal
Sobhita Dhulipala
Soha Ali Khan
Sonakshi Sinha
Sonal Chauhan
Sonalee Kulkarni
Sonali Bendre
Sonali Kulkarni
Sonali Raut
Sonam Bajwa
Sonam Kapoor
Sonarika Bhadoria
Sophia Chaudhary
Sridevi
Sunny Leone
Surveen Chawla
Sushmita Sen
Swara Bhaskar
Taapsee Pannu
Tabu
Tamannaah Bhatia
Tanishaa Mukerji
Tanushree Dutta
Tara Alisha Berry
Tara Sutaria
Tena Desae
Tia Bajpai
Tina Dutta
Tisca Chopra
Trisha Krishnan
Twinkle Khanna
Udita Goswami
Urmila Matondkar
Urvashi Rautela
Urvashi Sharma
Vaani Kapoor
Veena Malik
Vidya Balan
Warina Hussain
Yami Gautam
Yana Gupta
Yukta Mookhey
Zarine Khan
Zeenat Aman
Zoya Khan
